AnO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2024,3,Jaen,America,Argentina,33,277,8.4
2024,3,La Rioja,America,Argentina,40,292,7.3
2024,3,Las Palmas,America,Argentina,233,1678,7.2
2024,3,Lleida,America,Argentina,196,1039,5.3
2024,3,Lugo,America,Argentina,42,319,7.6
2024,3,Madrid,America,Argentina,14055,75897,5.4
2024,3,Murcia,America,Argentina,143,1073,7.5
2024,3,Malaga,America,Argentina,1713,14389,8.4
2024,3,Navarra,America,Argentina,83,614,7.4
2024,3,Ourense,America,Argentina,35,396,11.3
2024,3,Pontevedra,America,Argentina,161,1385,8.6
2024,3,Salamanca,America,Argentina,65,384,5.9
2024,3,Santa Cruz de Tenerife,America,Argentina,211,1983,9.4
2024,3,Segovia,America,Argentina,57,262,4.6
2024,3,Sevilla,America,Argentina,456,3785,8.3
2024,3,Tarragona,America,Argentina,318,2258,7.1
2024,3,Toledo,America,Argentina,165,858,5.2
2024,3,Total Nacional,America,Argentina,31620,199323,6.3
2024,3,Valencia/València,America,Argentina,1588,13022,8.2
2024,3,Valladolid,America,Argentina,57,490,8.6
2024,3,Zaragoza,America,Argentina,174,1218,7
